step,mloss,gloss,loss
100.0,0.0,0.9946,0.9946
200.0,0.0,0.9607,0.9607
300.0,0.0,0.921,0.921
400.0,0.0,0.869,0.869
500.0,0.0,0.8053,0.8053
600.0,0.0,0.7351,0.7351
700.0,0.0,0.6722,0.6722
800.0,0.0,0.6241,0.6241
900.0,0.0,0.5933,0.5933
1000.0,0.0,0.5707,0.5707
1100.0,0.0,0.5548,0.5548
1200.0,0.0,0.5419,0.5419
1300.0,0.0,0.53,0.53
1400.0,0.0,0.5209,0.5209
1500.0,0.0,0.5129,0.5129
1600.0,0.0,0.508,0.508
1700.0,0.0,0.5065,0.5065
1800.0,0.0,0.5032,0.5032
1900.0,0.0,0.5009,0.5009
2000.0,0.0,0.5012,0.5012
2100.0,0.0,0.5011,0.5011
2200.0,0.0,0.4997,0.4997
2300.0,0.0,0.4998,0.4998
2400.0,0.0,0.4996,0.4996
2500.0,0.0,0.498,0.498
2600.0,0.0,0.4975,0.4975
2700.0,0.0,0.4989,0.4989
2800.0,0.0,0.4973,0.4973
2900.0,0.0,0.4975,0.4975
3000.0,0.0,0.4963,0.4963
3100.0,0.0,0.4975,0.4975
3200.0,0.0,0.497,0.497
3300.0,0.0,0.4977,0.4977
3400.0,0.0,0.4965,0.4965
3500.0,0.0,0.4979,0.4979
3600.0,0.0,0.4965,0.4965
3700.0,0.0,0.4968,0.4968
3800.0,0.0,0.498,0.498
3900.0,0.0,0.4969,0.4969
4000.0,0.0,0.4963,0.4963
4100.0,0.0,0.4962,0.4962
4200.0,0.0,0.4966,0.4966
4300.0,0.0,0.4962,0.4962
4400.0,0.0,0.4957,0.4957
4500.0,0.0,0.4967,0.4967
4600.0,0.0,0.495,0.495
4700.0,0.0,0.4955,0.4955
4800.0,0.0,0.4961,0.4961
4900.0,0.0,0.4958,0.4958
5000.0,0.0,0.4949,0.4949
5100.0,0.0,0.4949,0.4949
5200.0,0.0,0.4954,0.4954
5300.0,0.0,0.4965,0.4965
5400.0,0.0,0.4959,0.4959
5500.0,0.0,0.4943,0.4943
5600.0,0.0,0.4958,0.4958
5700.0,0.0,0.4947,0.4947
5800.0,0.0,0.4947,0.4947
5900.0,0.0,0.4946,0.4946
6000.0,0.0,0.4957,0.4957
6100.0,0.0,0.494,0.494
6200.0,0.0,0.4941,0.4941
6300.0,0.0,0.4941,0.4941
6400.0,0.0,0.4953,0.4953
6500.0,0.0,0.4949,0.4949
6600.0,0.0,0.4944,0.4944
6700.0,0.0,0.4933,0.4933
6800.0,0.0,0.4937,0.4937
6900.0,0.0,0.4952,0.4952
7000.0,0.0,0.4948,0.4948
7100.0,0.0,0.4953,0.4953
7200.0,0.0,0.4942,0.4942
7300.0,0.0,0.4942,0.4942
7400.0,0.0,0.4936,0.4936
7500.0,0.0,0.4946,0.4946
7600.0,0.0,0.4944,0.4944
7700.0,0.0,0.4933,0.4933
7800.0,0.0,0.4944,0.4944
7900.0,0.0,0.494,0.494
8000.0,0.0,0.4938,0.4938
8100.0,0.0,0.4929,0.4929
8200.0,0.0,0.4943,0.4943
8300.0,0.0,0.494,0.494
8400.0,0.0,0.494,0.494
8500.0,0.0,0.4946,0.4946
8600.0,0.0,0.494,0.494
8700.0,0.0,0.4945,0.4945
8800.0,0.0,0.4951,0.4951
8900.0,0.0,0.4936,0.4936
9000.0,0.0,0.4936,0.4936
9100.0,0.0,0.4929,0.4929
9200.0,0.0,0.4943,0.4943
9300.0,0.0,0.4924,0.4924
9400.0,0.0,0.4923,0.4923
9500.0,0.0,0.493,0.493
9600.0,0.0,0.4938,0.4938
9700.0,0.0,0.4936,0.4936
9800.0,0.0,0.4946,0.4946
9900.0,0.0,0.4945,0.4945
10000.0,0.0,0.4942,0.4942
10100.0,0.0,0.4927,0.4927
10200.0,0.0,0.4936,0.4936
10300.0,0.0,0.4949,0.4949
10400.0,0.0,0.4931,0.4931
10500.0,0.0,0.4931,0.4931
10600.0,0.0,0.495,0.495
10700.0,0.0,0.4935,0.4935
10800.0,0.0,0.4941,0.4941
10900.0,0.0,0.4928,0.4928
11000.0,0.0,0.4942,0.4942
11100.0,0.0,0.4933,0.4933
11200.0,0.0,0.495,0.495
11300.0,0.0,0.4928,0.4928
11400.0,0.0,0.493,0.493
11500.0,0.0,0.4941,0.4941
11600.0,0.0,0.4925,0.4925
11700.0,0.0,0.4928,0.4928
11800.0,0.0,0.4933,0.4933
11900.0,0.0,0.4921,0.4921
12000.0,0.0,0.4937,0.4937
12100.0,0.0,0.4923,0.4923
12200.0,0.0,0.4934,0.4934
12300.0,0.0,0.4939,0.4939
12400.0,0.0,0.494,0.494
12500.0,0.0,0.493,0.493
12600.0,0.0,0.4946,0.4946
12700.0,0.0,0.4927,0.4927
12800.0,0.0,0.4935,0.4935
12900.0,0.0,0.4938,0.4938
13000.0,0.0,0.4924,0.4924
13100.0,0.0,0.4939,0.4939
13200.0,0.0,0.4929,0.4929
13300.0,0.0,0.4917,0.4917
13400.0,0.0,0.4934,0.4934
13500.0,0.0,0.4934,0.4934
13600.0,0.0,0.493,0.493
13700.0,0.0,0.4939,0.4939
13800.0,0.0,0.4913,0.4913
13900.0,0.0,0.4931,0.4931
14000.0,0.0,0.4933,0.4933
14100.0,0.0,0.4936,0.4936
14200.0,0.0,0.4928,0.4928
14300.0,0.0,0.4931,0.4931
14400.0,0.0,0.4921,0.4921
14500.0,0.0,0.4942,0.4942
14600.0,0.0,0.493,0.493
14700.0,0.0,0.4931,0.4931
14800.0,0.0,0.492,0.492
14900.0,0.0,0.4934,0.4934
15000.0,0.0,0.4925,0.4925
15100.0,0.0,0.4939,0.4939
15200.0,0.0,0.4932,0.4932
15300.0,0.0,0.4919,0.4919
15400.0,0.0,0.493,0.493
15500.0,0.0,0.4925,0.4925
15600.0,0.0,0.494,0.494
15700.0,0.0,0.4927,0.4927
15800.0,0.0,0.4933,0.4933
15900.0,0.0,0.4918,0.4918
16000.0,0.0,0.4926,0.4926
16100.0,0.0,0.4924,0.4924
16200.0,0.0,0.4925,0.4925
16300.0,0.0,0.4916,0.4916
16400.0,0.0,0.4943,0.4943
16500.0,0.0,0.4922,0.4922
16600.0,0.0,0.4929,0.4929
16700.0,0.0,0.4923,0.4923
16800.0,0.0,0.4935,0.4935
16900.0,0.0,0.4936,0.4936
17000.0,0.0,0.4926,0.4926
17100.0,0.0,0.4925,0.4925
17200.0,0.0,0.4924,0.4924
17300.0,0.0,0.4933,0.4933
17400.0,0.0,0.4925,0.4925
17500.0,0.0,0.4935,0.4935
17600.0,0.0,0.4928,0.4928
17700.0,0.0,0.4931,0.4931
17800.0,0.0,0.4927,0.4927
17900.0,0.0,0.494,0.494
18000.0,0.0,0.4928,0.4928
18100.0,0.0,0.492,0.492
18200.0,0.0,0.4931,0.4931
18300.0,0.0,0.4927,0.4927
18400.0,0.0,0.4927,0.4927
18500.0,0.0,0.4931,0.4931
18600.0,0.0,0.4922,0.4922
18700.0,0.0,0.4932,0.4932
18800.0,0.0,0.4936,0.4936
18900.0,0.0,0.4927,0.4927
19000.0,0.0,0.4922,0.4922
19100.0,0.0,0.4922,0.4922
19200.0,0.0,0.4928,0.4928
19300.0,0.0,0.4919,0.4919
19400.0,0.0,0.492,0.492
19500.0,0.0,0.4929,0.4929
19600.0,0.0,0.4918,0.4918
19700.0,0.0,0.4933,0.4933
19800.0,0.0,0.4923,0.4923
19900.0,0.0,0.4921,0.4921
20000.0,0.0,0.4924,0.4924
20100.0,0.0,0.4928,0.4928
20200.0,0.0,0.4934,0.4934
20300.0,0.0,0.4932,0.4932
20400.0,0.0,0.4933,0.4933
20500.0,0.0,0.4924,0.4924
20600.0,0.0,0.4928,0.4928
20700.0,0.0,0.4924,0.4924
20800.0,0.0,0.4921,0.4921
20900.0,0.0,0.494,0.494
21000.0,0.0,0.493,0.493
21100.0,0.0,0.4925,0.4925
21200.0,0.0,0.4933,0.4933
21300.0,0.0,0.4926,0.4926
21400.0,0.0,0.4918,0.4918
21500.0,0.0,0.4925,0.4925
21600.0,0.0,0.4923,0.4923
21700.0,0.0,0.4932,0.4932
21800.0,0.0,0.4923,0.4923
21900.0,0.0,0.4932,0.4932
22000.0,0.0,0.4923,0.4923
22100.0,0.0,0.4933,0.4933
22200.0,0.0,0.4914,0.4914
22300.0,0.0,0.4927,0.4927
22400.0,0.0,0.4922,0.4922
22500.0,0.0,0.492,0.492
22600.0,0.0,0.4922,0.4922
22700.0,0.0,0.4925,0.4925
22800.0,0.0,0.4935,0.4935
22900.0,0.0,0.4933,0.4933
23000.0,0.0,0.4934,0.4934
23100.0,0.0,0.4922,0.4922
23200.0,0.0,0.4926,0.4926
23300.0,0.0,0.4922,0.4922
23400.0,0.0,0.4924,0.4924
23500.0,0.0,0.4919,0.4919
23600.0,0.0,0.4918,0.4918
23700.0,0.0,0.4921,0.4921
23800.0,0.0,0.4919,0.4919
23900.0,0.0,0.4921,0.4921
