step,mloss,gloss,loss
100.0,0.0,0.9838,0.9838
200.0,0.0,0.9394,0.9394
300.0,0.0,0.8927,0.8927
400.0,0.0,0.8403,0.8403
500.0,0.0,0.7709,0.7709
600.0,0.0,0.691,0.691
700.0,0.0,0.6184,0.6184
800.0,0.0,0.5563,0.5563
900.0,0.0,0.5147,0.5147
1000.0,0.0,0.4923,0.4923
1100.0,0.0,0.4804,0.4804
1200.0,0.0,0.4714,0.4714
1300.0,0.0,0.4671,0.4671
1400.0,0.0,0.4672,0.4672
1500.0,0.0,0.4587,0.4587
1600.0,0.0,0.4574,0.4574
1700.0,0.0,0.4514,0.4514
1800.0,0.0,0.4522,0.4522
1900.0,0.0,0.4446,0.4446
2000.0,0.0,0.4412,0.4412
2100.0,0.0,0.4379,0.4379
2200.0,0.0,0.4357,0.4357
2300.0,0.0,0.4309,0.4309
2400.0,0.0,0.4306,0.4306
2500.0,0.0,0.4306,0.4306
2600.0,0.0,0.4247,0.4247
2700.0,0.0,0.4255,0.4255
2800.0,0.0,0.4214,0.4214
2900.0,0.0,0.4175,0.4175
3000.0,0.0,0.4183,0.4183
3100.0,0.0,0.4162,0.4162
3200.0,0.0,0.4095,0.4095
3300.0,0.0,0.4123,0.4123
3400.0,0.0,0.4068,0.4068
3500.0,0.0,0.4094,0.4094
3600.0,0.0,0.4041,0.4041
3700.0,0.0,0.405,0.405
3800.0,0.0,0.4038,0.4038
3900.0,0.0,0.4032,0.4032
4000.0,0.0,0.4016,0.4016
4100.0,0.0,0.3981,0.3981
4200.0,0.0,0.3964,0.3964
4300.0,0.0,0.3927,0.3927
4400.0,0.0,0.3983,0.3983
4500.0,0.0,0.3941,0.3941
4600.0,0.0,0.3931,0.3931
4700.0,0.0,0.3953,0.3953
4800.0,0.0,0.3907,0.3907
4900.0,0.0,0.3915,0.3915
5000.0,0.0,0.3931,0.3931
5100.0,0.0,0.3897,0.3897
5200.0,0.0,0.3888,0.3888
5300.0,0.0,0.3886,0.3886
5400.0,0.0,0.3887,0.3887
5500.0,0.0,0.3854,0.3854
5600.0,0.0,0.388,0.388
5700.0,0.0,0.3856,0.3856
5800.0,0.0,0.3862,0.3862
5900.0,0.0,0.3848,0.3848
6000.0,0.0,0.3853,0.3853
6100.0,0.0,0.3855,0.3855
6200.0,0.0,0.3815,0.3815
6300.0,0.0,0.382,0.382
6400.0,0.0,0.3829,0.3829
6500.0,0.0,0.3811,0.3811
6600.0,0.0,0.3821,0.3821
6700.0,0.0,0.3807,0.3807
6800.0,0.0,0.3815,0.3815
6900.0,0.0,0.3811,0.3811
7000.0,0.0,0.3796,0.3796
7100.0,0.0,0.3801,0.3801
7200.0,0.0,0.3791,0.3791
7300.0,0.0,0.3797,0.3797
7400.0,0.0,0.3787,0.3787
7500.0,0.0,0.3778,0.3778
7600.0,0.0,0.3777,0.3777
7700.0,0.0,0.3768,0.3768
7800.0,0.0,0.3783,0.3783
7900.0,0.0,0.3737,0.3737
8000.0,0.0,0.3765,0.3765
8100.0,0.0,0.3782,0.3782
8200.0,0.0,0.3774,0.3774
8300.0,0.0,0.3784,0.3784
8400.0,0.0,0.3808,0.3808
8500.0,0.0,0.3759,0.3759
8600.0,0.0,0.377,0.377
8700.0,0.0,0.3769,0.3769
8800.0,0.0,0.3753,0.3753
8900.0,0.0,0.3733,0.3733
9000.0,0.0,0.3747,0.3747
9100.0,0.0,0.3766,0.3766
9200.0,0.0,0.3757,0.3757
9300.0,0.0,0.3768,0.3768
9400.0,0.0,0.3749,0.3749
9500.0,0.0,0.3724,0.3724
9600.0,0.0,0.3746,0.3746
9700.0,0.0,0.3748,0.3748
9800.0,0.0,0.3704,0.3704
9900.0,0.0,0.3736,0.3736
10000.0,0.0,0.3718,0.3718
