step,mloss,gloss,loss
100.0,1.6329,1.71,3.3429
200.0,1.3037,1.0293,2.333
300.0,1.2862,1.0041,2.2903000000000002
400.0,1.2772,0.996,2.2732
500.0,1.2842,0.9783,2.2625
600.0,1.2677,0.9544,2.2221
700.0,1.2633,0.9251,2.1884
800.0,1.2652,0.9059,2.1711
900.0,1.2557,0.8854,2.1411
1000.0,1.2583,0.8759,2.1342
1100.0,1.2362,0.8144,2.0506
1200.0,1.2329,0.7933,2.0262000000000002
1300.0,1.225,0.7692,1.9942000000000002
1400.0,1.2107,0.716,1.9267
1500.0,1.207,0.7056,1.9126
1600.0,1.197,0.6741,1.8711000000000002
1700.0,1.1889,0.6516,1.8405
1800.0,1.1779,0.6459,1.8237999999999999
1900.0,1.1701,0.63,1.8001
2000.0,1.1569,0.6054,1.7623000000000002
2100.0,1.1579,0.6081,1.766
2200.0,1.1516,0.5982,1.7498
2300.0,1.1369,0.5831,1.72
2400.0,1.1351,0.574,1.7090999999999998
2500.0,1.1319,0.5764,1.7083
2600.0,1.1233,0.5728,1.6961
2700.0,1.119,0.5664,1.6854
2800.0,1.1196,0.5656,1.6852
2900.0,1.1087,0.5587,1.6674
3000.0,1.1021,0.5483,1.6504
3100.0,1.0993,0.5499,1.6492
3200.0,1.1012,0.5482,1.6494
3300.0,1.0918,0.5456,1.6374
3400.0,1.0919,0.5433,1.6352000000000002
3500.0,1.0849,0.5331,1.6179999999999999
3600.0,1.0766,0.5327,1.6093
3700.0,1.075,0.532,1.607
3800.0,1.0762,0.5271,1.6033
3900.0,1.0706,0.5251,1.5957
4000.0,1.0661,0.5245,1.5906
4100.0,1.06,0.5188,1.5788000000000002
4200.0,1.0639,0.5173,1.5812
4300.0,1.0634,0.5278,1.5912
4400.0,1.052,0.5125,1.5645
4500.0,1.051,0.5122,1.5632
4600.0,1.0524,0.5073,1.5596999999999999
4700.0,1.0552,0.5095,1.5646999999999998
4800.0,1.0443,0.5098,1.5541
4900.0,1.0427,0.5031,1.5457999999999998
5000.0,1.0478,0.5082,1.556
5100.0,1.0385,0.5018,1.5403
5200.0,1.0415,0.5045,1.546
5300.0,1.0363,0.4988,1.5351
5400.0,1.035,0.4972,1.5322
5500.0,1.0339,0.4933,1.5272000000000001
5600.0,1.0287,0.4934,1.5221
5700.0,1.0244,0.4915,1.5159
5800.0,1.0311,0.4902,1.5212999999999999
5900.0,1.0319,0.4883,1.5202
6000.0,1.0286,0.4843,1.5129
6100.0,1.0202,0.4847,1.5049000000000001
6200.0,1.021,0.479,1.5
6300.0,1.0221,0.481,1.5030999999999999
6400.0,1.0195,0.4773,1.4968000000000001
6500.0,1.0122,0.476,1.4882
6600.0,1.0139,0.4731,1.487
6700.0,1.0091,0.4715,1.4806000000000001
6800.0,1.01,0.4685,1.4785
6900.0,1.007,0.4703,1.4772999999999998
7000.0,1.0088,0.4659,1.4747
7100.0,1.0086,0.4753,1.4839
7200.0,1.0042,0.4636,1.4678
7300.0,1.004,0.4609,1.4649
7400.0,0.9991,0.4653,1.4644
7500.0,0.9986,0.4624,1.461
7600.0,0.9988,0.4621,1.4609
7700.0,0.9946,0.4603,1.4549
7800.0,0.9945,0.4617,1.4562
7900.0,0.9916,0.457,1.4486
8000.0,0.9944,0.4581,1.4525
8100.0,0.9914,0.4543,1.4457
8200.0,0.9927,0.4568,1.4495
8300.0,0.9915,0.452,1.4435
8400.0,0.9887,0.4589,1.4476
8500.0,0.9849,0.4493,1.4342
8600.0,0.99,0.4512,1.4412
8700.0,0.9892,0.452,1.4412
8800.0,0.9832,0.4511,1.4343
8900.0,0.9808,0.4498,1.4306
9000.0,0.9815,0.4531,1.4346
9100.0,0.9847,0.4456,1.4303
9200.0,0.9777,0.4494,1.4271
9300.0,0.9778,0.4479,1.4257
9400.0,0.9806,0.4436,1.4242
9500.0,0.9809,0.4459,1.4268
9600.0,0.971,0.445,1.416
9700.0,0.9719,0.4414,1.4133
9800.0,0.9683,0.4461,1.4144
9900.0,0.9745,0.4455,1.42
10000.0,0.9712,0.4446,1.4158
10100.0,0.965,0.4397,1.4047
10200.0,0.9689,0.4454,1.4143
10300.0,0.9699,0.4407,1.4106
10400.0,0.9693,0.4431,1.4124
10500.0,0.9706,0.4405,1.4111
10600.0,0.9668,0.437,1.4038
10700.0,0.969,0.4368,1.4058
10800.0,0.963,0.4378,1.4008
10900.0,0.9639,0.4421,1.406
11000.0,0.9649,0.437,1.4019
11100.0,0.9667,0.4365,1.4032
11200.0,0.9577,0.4358,1.3935
11300.0,0.9586,0.4336,1.3921999999999999
11400.0,0.9606,0.436,1.3966
11500.0,0.9584,0.4343,1.3927
11600.0,0.9575,0.4352,1.3927
11700.0,0.9568,0.4336,1.3904
11800.0,0.9557,0.4329,1.3886
11900.0,0.9593,0.4337,1.393
12000.0,0.9563,0.4311,1.3874
12100.0,0.9558,0.4319,1.3877
12200.0,0.9553,0.4308,1.3861
12300.0,0.9556,0.4355,1.3911
12400.0,0.9538,0.4309,1.3847
12500.0,0.9561,0.4331,1.3892
12600.0,0.9531,0.4279,1.381
12700.0,0.9525,0.4287,1.3812
12800.0,0.9485,0.4289,1.3774
12900.0,0.9544,0.427,1.3814
13000.0,0.9527,0.4301,1.3828
13100.0,0.9496,0.4255,1.3751
13200.0,0.9501,0.4254,1.3755
13300.0,0.9448,0.4303,1.3751
13400.0,0.9458,0.426,1.3718
