step,mloss,gloss,loss
100.0,0.5001,1.1436,1.6437
200.0,0.4735,1.0005,1.474
300.0,0.4643,0.906,1.3703
400.0,0.4494,0.7383,1.1877
500.0,0.4386,0.5846,1.0232
600.0,0.4358,0.5241,0.9599
700.0,0.4427,0.5132,0.9559
800.0,0.4313,0.5062,0.9375
900.0,0.4264,0.4995,0.9259
1000.0,0.4295,0.4969,0.9264
1100.0,0.4277,0.4943,0.922
1200.0,0.4293,0.4917,0.921
1300.0,0.4314,0.4899,0.9213
1400.0,0.4319,0.4888,0.9207000000000001
1500.0,0.4272,0.4869,0.9141
1600.0,0.428,0.4869,0.9149
1700.0,0.4233,0.4857,0.909
1800.0,0.4266,0.4825,0.9091
1900.0,0.4242,0.4826,0.9068
2000.0,0.4236,0.4808,0.9044
2100.0,0.4234,0.48,0.9034
2200.0,0.4288,0.4798,0.9086000000000001
2300.0,0.4272,0.4791,0.9063000000000001
2400.0,0.42,0.4769,0.8969
2500.0,0.423,0.4773,0.9003
2600.0,0.4221,0.4772,0.8993
2700.0,0.4208,0.4774,0.8982
2800.0,0.4237,0.4759,0.8996
2900.0,0.4198,0.475,0.8948
3000.0,0.4174,0.4744,0.8917999999999999
3100.0,0.4226,0.4743,0.8969
3200.0,0.4192,0.473,0.8922
3300.0,0.4218,0.4721,0.8939
3400.0,0.4196,0.4706,0.8902
3500.0,0.4255,0.4704,0.8958999999999999
3600.0,0.4198,0.4686,0.8884000000000001
3700.0,0.4186,0.4679,0.8865000000000001
3800.0,0.4199,0.4682,0.8881
3900.0,0.4242,0.4692,0.8934
4000.0,0.4206,0.4662,0.8868
4100.0,0.4231,0.4656,0.8887
4200.0,0.4285,0.4652,0.8936999999999999
4300.0,0.4226,0.4641,0.8867
4400.0,0.4173,0.4623,0.8795999999999999
4500.0,0.4239,0.4643,0.8882
4600.0,0.4194,0.462,0.8814
4700.0,0.4245,0.4638,0.8883
4800.0,0.4214,0.4606,0.882
4900.0,0.4206,0.4604,0.881
5000.0,0.4179,0.4609,0.8788
5100.0,0.4215,0.4602,0.8816999999999999
5200.0,0.423,0.4598,0.8828
5300.0,0.4206,0.461,0.8815999999999999
5400.0,0.4198,0.4608,0.8806
5500.0,0.4169,0.4578,0.8747
5600.0,0.4194,0.458,0.8774
5700.0,0.4187,0.4575,0.8762000000000001
5800.0,0.417,0.457,0.874
5900.0,0.4171,0.4584,0.8755
6000.0,0.4202,0.457,0.8772
6100.0,0.4201,0.4558,0.8758999999999999
6200.0,0.423,0.4572,0.8802
6300.0,0.4197,0.4561,0.8758
6400.0,0.4184,0.4559,0.8743000000000001
6500.0,0.4186,0.4551,0.8737
6600.0,0.4236,0.4565,0.8801
6700.0,0.4193,0.4558,0.8751
6800.0,0.4182,0.4529,0.8711
6900.0,0.4194,0.455,0.8744000000000001
7000.0,0.4148,0.4538,0.8686
7100.0,0.4267,0.4544,0.8811
7200.0,0.4162,0.4517,0.8679
7300.0,0.421,0.4531,0.8741
7400.0,0.4203,0.4541,0.8744000000000001
