Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,84.25,0.0,0.0,52.0,1725.9667,0.0,0.03118881,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,900.9167,0.027777778,0.024814814,0.0,0.6,May,1,1,8,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,4,1,1,10,Returning_Visitor,True,False
13.0,388.3,8.0,417.0,67.0,6483.775,0.00375,0.01725,24.27165,0.0,May,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,45.0,1970.0,0.01925926,0.037925925,0.0,0.0,June,4,1,3,3,Returning_Visitor,False,False
3.0,90.0,0.0,0.0,4.0,126.0,0.0,0.014285714,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,242.91667,0.0,0.02,16.16058,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.1,0.0,0.0,May,1,1,6,1,Returning_Visitor,True,False
7.0,51.5,0.0,0.0,59.0,1954.7542,0.0,0.003225806,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2.0,94.0,0.0,0.0,5.0,97.0,0.0,0.03333333,0.0,0.0,Mar,3,3,1,10,Returning_Visitor,False,False
1.0,58.0,0.0,0.0,33.0,647.625,0.0,0.00625,0.0,0.0,Dec,3,2,3,2,New_Visitor,False,False
2.0,125.0,0.0,0.0,7.0,49.0,0.025,0.075,0.0,0.0,May,1,1,8,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,487.0,0.0,0.1,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,12.0,103.0,0.13333334,0.16666667,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,75.0,1775.2417,0.001333333,0.019428572,0.0,0.0,Nov,2,6,5,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,77.0,1903.6017,0.003151515,0.029314358,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
